Question	Answer	Category
What are the seven layers of the OSI model in order, top to bottom?	7. **Application**\n6. **Presentation**\n5. **Session**\n4. **Transport**\n3. **Network**\n2. **Data Link**\n1. **Physical**\n\n*Top-down mnemonic: All People Seem To Need Data Processing*\n*Bottom-up mnemonic: Please Do Not Throw Sausage Pizza Away*	OSI Model, Network Layers, Conceptual Abstraction
At which OSI layer does ARP operate?	**Layer 2 (Data Link).** ARP maps IP addresses to MAC addresses; CISSP treats it as L2 even though it interacts with L3 information.	OSI Model, Data Link Layer, Address Resolution Protocol
At which OSI layer does IP operate?	**Layer 3 (Network).** IP provides logical addressing and routing.	OSI Model, Network Layer, Internet Protocol
At which OSI layer do TCP and UDP operate?	**Layer 4 (Transport).** TCP provides connection-oriented reliable delivery; UDP provides connectionless best-effort delivery.	OSI Model, Transport Layer, TCP/UDP
At which OSI layer does HTTP operate?	**Layer 7 (Application).** HTTPS adds TLS, which is often considered at the L6/L7 boundary.	OSI Model, Application Layer, HTTP
At which OSI layer does a router operate?	**Layer 3 (Network).** Routers forward packets based on IP addresses and routing tables.	OSI Model, Network Layer, Routing
At which OSI layer does a switch operate?	**Layer 2 (Data Link).** Switches forward frames based on MAC addresses. Layer-3 switches add routing capability.	OSI Model, Data Link Layer, Switching
At which OSI layer does a hub operate?	**Layer 1 (Physical).** Hubs are simple repeaters that broadcast all incoming signals to all ports.	OSI Model, Physical Layer, Network Hardware
What are the four layers of the TCP/IP model?	1. **Link** (Network Access) ≈ OSI L1+L2\n2. **Internet** ≈ OSI L3\n3. **Transport** ≈ OSI L4\n4. **Application** ≈ OSI L5+L6+L7	TCP/IP Model, Network Architectures, Protocol Suites
What is the TCP three-way handshake?	1. Client sends **SYN** (with initial sequence number)\n2. Server responds with **SYN-ACK**\n3. Client sends **ACK** — connection established\n\n*SYN flood attacks exploit step 2 by leaving half-open connections.*	TCP Protocols, Three-Way Handshake, Connection Establishment
What is the TCP four-way connection close?	1. FIN from one party\n2. ACK from the other\n3. FIN from the second party\n4. ACK from the first\n\nBoth directions close independently because TCP is full-duplex.	TCP Protocols, Connection Termination, Full Duplex
What is the difference between TCP and UDP?	- **TCP** — connection-oriented, reliable, ordered, retransmission; used for HTTP/SSH/SMTP/FTP\n- **UDP** — connectionless, best-effort, no handshake, no retransmission; used for DNS queries, VoIP, video streaming, DHCP\n\n*UDP is faster but unreliable.*	Transport Protocols, TCP, UDP
A scenario emphasizes real-time, low-latency video streaming. TCP or UDP?	**UDP.** The handshake and retransmission overhead of TCP would add latency unsuitable for real-time streaming. Lost packets are simply dropped rather than retransmitted.	Transport Protocols, UDP, Low Latency
A scenario emphasizes guaranteed, ordered delivery of a file. TCP or UDP?	**TCP.** Reliability, ordering, and retransmission are exactly what file transfer requires. UDP would be inappropriate for any application that cannot tolerate lost or out-of-order packets.	Transport Protocols, TCP, Reliable Delivery
What is a packet-filtering firewall?	A **stateless** firewall that inspects only header information (source/destination IP, port, protocol) and permits or denies packets based on rules.\n\n- Fast and simple\n- Cannot detect application-layer attacks or track connection state	Firewall Technologies, Packet Filtering, Stateless Inspection
What is a stateful inspection firewall?	A firewall that **tracks the state of active connections** and uses connection state to make filtering decisions.\n\n- Automatically allows return traffic for established outbound connections\n- The standard enterprise default	Firewall Technologies, Stateful Inspection, Connection Tracking
What is an application-layer (proxy) firewall?	A firewall that operates at **L7** and understands specific application protocols (HTTP, FTP, SMTP).\n\n- Acts as a proxy, terminating client connections and originating new ones to the server\n- Can inspect and filter application content	Firewall Technologies, Application Proxy, Layer 7 Security
What is a Next-Generation Firewall (NGFW)?	A firewall combining:\n\n- Stateful inspection\n- Deep packet inspection\n- Application awareness\n- Intrusion prevention\n- Threat intelligence integration\n\nThe modern enterprise standard for north-south traffic.	Firewall Technologies, NGFW, Deep Packet Inspection
