Data Owner	The person ultimately accountable for data, responsible for defining classification and authorizing access.
Data Custodian	The person responsible for technical implementation of security controls and day-to-day data maintenance.
Top Secret	US Government classification for information whose disclosure causes "exceptionally grave damage."
Secret	US Government classification for information whose disclosure causes "serious damage."
Confidential (Gov)	US Government classification for information whose disclosure causes "damage."
Replacement Cost	The cost to replace an asset at current market prices; used in BCP/DR planning.
Consequential Loss	The indirect loss (revenue, reputation) resulting from an asset's failure.
Shadow IT	Unauthorized hardware or software used within an organization without IT's knowledge.
Data Steward	Role focused on data quality, metadata, and consistency across the organization.
High-Water Mark	Principle stating a system must be protected at the level of its most sensitive data component.
Scoping	Removing inapplicable controls from a security baseline.
Tailoring	Refining and adjusting baseline controls to meet specific organizational needs.
Marking	The physical labeling of media (folders, CDs) to indicate its classification.
Labeling	The digital metadata applied to files to indicate their classification.
Asset Inventory	A comprehensive list of assets, including owner, criticality, and classification.
CUI	Controlled Unclassified Information; a US government label for sensitive but unclassified data.
Intangible Asset	An asset without physical substance, such as brand reputation or intellectual property.
Declassification	The process of moving data to a lower classification level when its sensitivity decreases.
Proprietary Data	Commercial data containing trade secrets or sensitive business information.
Need-to-Know	The principle that users should only have access to data required for their specific tasks.
Data Subject	The individual to whom the personal data refers.
Data Processor	An entity that processes data on behalf of a Data Controller.
Public Data	Information intended for unrestricted distribution with no impact if disclosed.
Internal Use Only	Commercial classification for data not for public release but with low impact if lost.
Asset Valuation	The process of assigning a value to an asset to determine appropriate protection levels.
