Question	Answer	Category
What is 'Shift Left'?	Moving security activities (testing, analysis, compliance) **earlier** in the Software Development Life Cycle (SDLC) to detect and fix issues when they are cheapest to resolve.	DevSecOps
Define 'Security as Code' (SaC).	The practice of defining security policies, standards, and tests in **machine-readable code** (e.g., YAML, scripts) that can be versioned and automatically executed in a CI/CD pipeline.	DevSecOps
What is the purpose of Secret Scanning?	Automatically identifying **hardcoded credentials** (API keys, passwords, certificates) in source code repositories to prevent their exposure and potential misuse.	DevSecOps, CI/CD Security
What is Software Composition Analysis (SCA)?	A tool that identifies **third-party libraries and dependencies** used in an application and checks them for known vulnerabilities (CVEs) and licensing risks.	DevSecOps, CI/CD Security
Define 'Immutable Infrastructure'.	An approach where infrastructure components (like servers or containers) are **replaced** instead of modified. If a change or patch is needed, a new version is built and deployed.	DevSecOps
What is a 'Quality Gate' in CI/CD?	An **automated checkpoint** in the pipeline that evaluates the code against pre-defined security and quality criteria. If the criteria are not met, the pipeline is halted.	DevSecOps, CI/CD Security
What is the difference between SAST and DAST?	**SAST** (Static) analyzes source code or binaries without executing them (Inside-Out). **DAST** (Dynamic) tests the running application for vulnerabilities from the outside (Outside-In).	DevSecOps, Application Testing
What is Dynamic Application Security Testing (DAST)?	Testing a **running application** for security vulnerabilities by simulating attacks (e.g., SQL injection, XSS) from an external perspective.	DevSecOps, Application Testing
What is the benefit of using Container Image Signing?	It ensures **integrity and provenance**, verifying that the container image was created by a trusted source and has not been tampered with since it was signed.	DevSecOps, Containers
Define 'Pipeline Hardening'.	The process of securing the **CI/CD infrastructure** itself, including build runners, secret management, and access controls to prevent 'Poisoned Pipeline Execution' attacks.	DevSecOps, CI/CD Security
What is Open Policy Agent (OPA)?	A general-purpose **policy engine** that enables unified, context-aware policy enforcement (Policy as Code) across the cloud-native stack.	DevSecOps, Policy as Code
What are pre-commit hooks?	Scripts that run locally on a developer's machine **before a commit is finalized**, often used to scan for secrets or lint code.	DevSecOps, CI/CD Security
Define 'Blue-Green Deployment'.	A release strategy using **two identical environments**. One (Blue) runs the current version, while the other (Green) runs the new version. Traffic is swapped once Green is verified.	DevSecOps, Deployment
What is Infrastructure Drift?	When the **actual state** of cloud resources deviates from the **desired state** defined in Infrastructure as Code (IaC) due to manual changes.	DevSecOps, IaC
What is a 'Distroless' container image?	An image containing only the application and its minimal runtime dependencies, **omitting shells, package managers, and standard Linux utilities** to reduce attack surface.	DevSecOps, Containers
What is GitOps?	An operational framework that uses **Git repositories as the single source of truth** for infrastructure and application configurations, using automation to sync state.	DevSecOps
What is Security Chaos Engineering?	The discipline of **experimenting on a software system** by injecting security-related failures (e.g., misconfigurations) to build confidence in its security resilience.	DevSecOps
What is an Artifact Repository?	A centralized system for managing **compiled binaries and container images**, allowing for vulnerability scanning and integrity verification before deployment.	DevSecOps, CI/CD Security
What is the 'shared responsibility' model in DevSecOps?	The cultural shift where **development, operations, and security teams** all share ownership of security outcomes throughout the lifecycle.	DevSecOps
What is RASP (Runtime Application Self-Protection)?	A security technology that resides **inside the application** to monitor its execution and protect it from attacks by analyzing internal data flow and logic.	DevSecOps
