Question	Answer	Category
What is a Class A fire and what suppression is appropriate?	**Class A** — ordinary combustibles: wood, paper, cloth, plastics.\n\n**Suppression:** water, soda acid.\n\nThe most common fire type; standard home fire extinguishers are rated for Class A.	Fire Class
What is a Class B fire and what suppression is appropriate?	**Class B** — flammable liquids and gases: gasoline, oil, alcohol, propane.\n\n**Suppression:** CO2, dry chemical, or foam.\n\nWater can spread the fuel; soda acid is inappropriate.	Fire Class
What is a Class C fire and what suppression is appropriate?	**Class C** — energized electrical equipment.\n\n**Suppression must be NON-CONDUCTIVE:** CO2, FM-200, Novec 1230, inert gases (Argon, Argonite, Inergen).\n\nWater is dangerous — creates **electrocution risk** for firefighters and anyone nearby.	Fire Class
What is a Class D fire and what suppression is appropriate?	**Class D** — combustible metals: magnesium, sodium, potassium, lithium.\n\n**Suppression:** special **dry-powder agents** specifically formulated for the metal involved.\n\nWater can react violently with these metals.	Fire Class
What is a Class K fire and what suppression is appropriate?	**Class K** — cooking oils and fats in commercial kitchens.\n\n**Suppression:** wet chemical agents (typically potassium-based) that **saponify** the oil.\n\nWater and standard agents are inappropriate.	Fire Class
What is the highest-yield trap on fire-class questions?	**Using water on a Class C (electrical) fire.**\n\nWater conducts electricity; using it on energized equipment creates electrocution risk.\n\nElectrical fires require **non-conductive suppression** — CO2, FM-200, Novec 1230, or inert gases.	Trap Patterns
What is Halon and is it still used for new fire-suppression systems?	**Halon** — halogenated hydrocarbon agents; the gold standard for IT-facility fire suppression: fast, residue-free, safe for equipment.\n\n**Banned for new installations** by the Montreal Protocol (1989, effective 1994 in developed countries) due to ozone depletion.\n\nExisting systems may continue with restrictions; **new installations are NOT permitted.**	Suppression
What are the EPA-recommended replacements for Halon?	- **FM-200** (HFC-227ea) — most common drop-in Halon replacement; fast suppression, residue-free, safe for occupied spaces\n- **Novec 1230** — even lower environmental impact than FM-200\n- **Inert gases** — Argon, Argonite, Inergen	Suppression
What is the difference between wet-pipe and dry-pipe sprinkler systems?	- **Wet-pipe** — water in the pipes always; fast response when a head opens\n- **Dry-pipe** — pressurized air in the pipes; air must release before water arrives; used in unheated spaces (parking garages, freezer rooms) to prevent freezing	Suppression
What is a preaction sprinkler system?	A sprinkler system requiring **BOTH a fire-detection event AND a fused sprinkler head** before water is released.\n\nTwo-stage activation dramatically reduces accidental discharge from a damaged sprinkler head.\n\n**The standard for IT and data center facilities.**	Suppression
What is a deluge sprinkler system?	A sprinkler system where **all heads are open at all times** (no fusing required).\n\nWhen the system activates (typically on detection), water floods every head simultaneously.\n\nUsed in high-hazard environments where fire spread must be controlled aggressively (aircraft hangars, chemical storage).	Suppression
Why is preaction the canonical sprinkler type for IT/server rooms?	Because the **two-stage activation** prevents accidental water discharge.\n\nA single broken sprinkler head in a wet-pipe system would dump water on equipment; in preaction, broken heads only matter if there's also fire detection.\n\n**Two independent triggers required** = protection for the equipment.	Suppression
What is CPTED?	**Crime Prevention Through Environmental Design** — a design philosophy using the physical environment to deter crime.\n\n**Four principles:**\n1. Natural Surveillance\n2. Natural Access Control\n3. Territorial Reinforcement\n4. Maintenance	CPTED
What is "Natural Surveillance" in CPTED?	Designing the environment to **maximize visibility and minimize hiding places:**\n\n- Clear sight lines\n- Appropriate lighting\n- Low landscaping near entry points\n- Windows facing public areas\n\nIncreases the perceived risk of being observed for would-be offenders.	CPTED
What is "Natural Access Control" in CPTED?	Designing entrances, paths, and landscaping to **guide legitimate users and discourage unauthorized entry:**\n\n- Single primary entrances\n- Clearly defined paths\n- Decorative barriers (planters, low walls) that channel movement	CPTED
What is "Territorial Reinforcement" in CPTED?	**Clear delineation between public, semi-public, and private space** through:\n\n- Pavement changes\n- Landscaping\n- Signage and visual cues\n\nLegitimate users feel ownership; intruders feel out of place.	CPTED
What is "Maintenance" in CPTED?	**Visible care of a space** — clean grounds, repaired equipment, fresh paint, operational lighting — signals that the space is monitored and cared for.\n\nRun-down environments invite crime; well-maintained ones discourage it.\n\n*Also called "Image and Maintenance."*	CPTED
