Question	Answer	Category
What does STRIDE stand for?	- **S**poofing\n- **T**ampering\n- **R**epudiation\n- **I**nformation Disclosure\n- **D**enial of Service\n- **E**levation of Privilege\n\nA threat-categorization framework developed by Microsoft for software-centric threat modeling.	STRIDE
What security property does Spoofing violate?	**Authentication.** An attacker impersonates a legitimate user, system, or process.\n\nDefenses: strong authentication, MFA, digital signatures, mutual TLS.	STRIDE
What security property does Tampering violate?	**Integrity.** An attacker modifies data, code, or messages without authorization.\n\nDefenses: hashing, digital signatures, MACs, integrity-protected channels (TLS, IPsec ESP).	STRIDE
What security property does Repudiation violate?	**Non-repudiation.** An actor performs an action and later denies it because the system cannot prove otherwise.\n\nDefenses: audit logging, digital signatures, secure timestamping.	STRIDE
What security property does Information Disclosure violate?	**Confidentiality.** Sensitive information is exposed to unauthorized parties.\n\nDefenses: encryption (at rest and in transit), access controls, DLP, data classification.	STRIDE
What security property does Denial of Service violate?	**Availability.** An attacker prevents legitimate users from accessing a service or resource.\n\nDefenses: rate limiting, redundancy, DDoS protection, capacity planning, traffic scrubbing.	STRIDE
What security property does Elevation of Privilege violate?	**Authorization.** An attacker gains capabilities beyond what they should have — typically going from regular user to administrator.\n\nDefenses: least privilege, secure code, kernel hardening, privilege separation, EDR.	STRIDE
What does DREAD stand for?	- **D**amage potential\n- **R**eproducibility\n- **E**xploitability\n- **A**ffected users\n- **D**iscoverability\n\nA risk-rating framework that **prioritizes** threats already identified by another method (typically STRIDE).	DREAD
How is DREAD scored?	Each of the five dimensions is scored **1–10**, then summed (range 5–50, or normalized to a 1–10 average). Higher total = higher priority.\n\n*Note: Microsoft has deprecated DREAD internally because scoring is subjective; CISSP still teaches it.*	DREAD
Is DREAD used to identify threats or to rank them?	To **rank** them. Threat identification is done by STRIDE (or another framework); DREAD **prioritizes** the identified threats so the most important get addressed first.	DREAD
What does PASTA stand for and what is it?	**Process for Attack Simulation and Threat Analysis.** A seven-stage, risk-centric, business-aligned threat modeling methodology. More comprehensive than STRIDE; suitable for executive engagement.	PASTA
What are the seven stages of PASTA in order?	1. Define Objectives (business goals and impact criteria)\n2. Define Technical Scope (system boundaries)\n3. Application Decomposition (data flows, trust boundaries)\n4. Threat Analysis (custom threat library)\n5. Vulnerability/Weakness Analysis\n6. Attack Modeling (paths, trees)\n7. Risk and Impact Analysis (prioritization and recommendations)	PASTA
What is the difference between STRIDE and PASTA at a high level?	- **STRIDE** — software-centric, fast, developer-focused, identifies threats by category\n- **PASTA** — risk-centric, slower, executive-engaging, aligns threats with business objectives\n\n*STRIDE is for implementation teams; PASTA is for organizational programs.*	Comparison
What are the seven phases of the Lockheed Martin Cyber Kill Chain in order?	1. **Reconnaissance**\n2. **Weaponization**\n3. **Delivery**\n4. **Exploitation**\n5. **Installation**\n6. **Command and Control**\n7. **Actions on Objectives**\n\n*Sequential — earlier phases enable later ones.*	Kill Chain
What happens during the Reconnaissance phase?	The attacker researches the target — OSINT, scanning, social engineering, identifying employees, infrastructure, technologies. The **pre-attack research phase.** Often invisible to the target.	Kill Chain
