Question	Answer	Category
What does this set cover, and what is intentionally NOT in it?	The formal security models **not** already drilled in the IAM set. Bell-LaPadula, Biba, Clark-Wilson, and Brewer-Nash live in `05-identity-and-access-management/access-control-and-iam`.\n\nThis set covers: **Lipner, Access Matrix, Graham-Denning, HRU, Take-Grant, Lattice-Based Access Control, State Machine, Information Flow, Non-Interference (Goguen-Meseguer), and Sutherland** — plus comparison and trap cards.	Orientation
How do CISSP security models taxonomize?	**Three buckets:**\n\n1. **Confidentiality:** Bell-LaPadula\n2. **Integrity:** Biba, Clark-Wilson\n3. **Hybrid / commercial / conflict-of-interest:** Brewer-Nash (Chinese Wall), Lipner\n\n**Foundational meta-models** (everything else builds on these): Access Matrix, State Machine, Information Flow, Lattice, Non-Interference, and rights-propagation models (Graham-Denning, HRU, Take-Grant).	Orientation
What is the Lipner model?	A commercial integrity model that combines **Bell-LaPadula's confidentiality lattice** with **Biba's integrity lattice** and adds enforced **separation of duties**. Designed for commercial environments where both confidentiality (trade secrets, customer data) and integrity (financial records, code) must be protected at once, with role separation between developers, production code, and production data.	Lipner
Why was Lipner created if BLP and Biba already exist?	**BLP** alone protects secrecy but not integrity. **Biba** alone protects integrity but not secrecy. Real commercial systems need both. **Lipner** stitches them together, adds Clark-Wilson-style separation of duties, and forbids a single subject from being a developer, a production-data user, AND a system controller at the same time.	Lipner
What is the Lampson Access Matrix?	The foundational access control model. A two-dimensional matrix: subjects (rows) × objects (columns), with each cell holding the rights that subject has on that object.\n\nConceptually elegant, computationally impractical for large systems (matrix is mostly empty). Real systems implement it as:\n\n- **ACLs** — column-wise slices\n- **Capability lists** — row-wise slices	Access Matrix
What is an ACL and how does it relate to the Access Matrix?	An **Access Control List** is the column-wise decomposition of the Access Matrix. For each object, store the list of subjects and the rights they have.\n\n- **Fast for:** "who can access this object?"\n- **Slow for:** "what can this user do?"	Access Matrix
What is a capability list and how does it relate to the Access Matrix?	The **row-wise** decomposition of the Access Matrix. For each subject, store the list of objects and the rights the subject has on each.\n\n- **Fast for:** "what can this user do?"\n- **Slow for:** "who can access this object?"\n\nCapability tickets are typically unforgeable tokens.	Access Matrix
What is the Graham-Denning model?	A rights-propagation model that defines **eight primitive protection rules** for how subjects, objects, and access rights can be created, deleted, and transferred. Built on top of the Access Matrix. Predecessor to Harrison-Ruzzo-Ullman.	Graham-Denning
What are the eight Graham-Denning protection rules?	1. Create object\n2. Create subject\n3. Delete object\n4. Delete subject\n5. Read access right\n6. Grant access right\n7. Delete (revoke) access right\n8. Transfer access right\n\n*Exam tip: usually only asks "how many rules?" — full enumeration is rarely required.*	Graham-Denning
What is the Harrison-Ruzzo-Ullman (HRU) model?	A formalization that extends Graham-Denning. Defines **six primitive operations**:\n\n- enter right\n- delete right\n- create subject\n- create object\n- destroy subject\n- destroy object\n\nUses these to ask whether a given right can ever leak to an unauthorized subject — the **"safety problem."**	HRU
What does the HRU safety problem prove?	That the safety problem is **UNDECIDABLE** in the general case. There is no algorithm that can determine, for an arbitrary protection system, whether a given right can eventually leak.\n\nPractical systems are made decidable only by restricting the model. This is the headline HRU fact for the exam.	HRU
How does HRU relate to Graham-Denning?	HRU is the formal mathematical extension of Graham-Denning.\n\n- **Graham-Denning** = enumerates the eight rules\n- **HRU** = formalizes them and proves the safety problem is undecidable\n\n*Trap: the exam may swap the names — if the question is about decidability, the answer is HRU, never Graham-Denning.*	HRU
What is the Take-Grant model?	A formal protection model that represents protection state as a **directed graph** (nodes = subjects/objects, edges = rights) and uses four primitive operations to describe how rights propagate.	Take-Grant
What are the four Take-Grant primitive operations?	- **Take** — acquire a right that another subject holds on an object\n- **Grant** — pass a right you hold to another subject\n- **Create** — add a new node to the graph\n- **Remove** (Revoke) — delete a right	Take-Grant
What does Take-Grant prove that contrasts with HRU?	For the Take-Grant restricted model, the safety question is decidable in **linear time**.\n\nThe canonical contrast:\n\n- **HRU** = undecidable in general\n- **Take-Grant** = decidable in linear time under its constraints	Take-Grant
What is Lattice-Based Access Control?	A generalization where subjects and objects are assigned security labels drawn from a partially ordered set (a lattice), and access decisions are constrained by the lattice ordering.\n\n**BLP and Biba are both specific instances** of lattice-based access control. Multilevel security (MLS) implementations are typically lattice-based.	Lattice
What are the two lattice operations and what do they mean?	- **LUB (Least Upper Bound / join)** — the lowest label that dominates two given labels\n- **GLB (Greatest Lower Bound / meet)** — the highest label dominated by two given labels\n\nUsed to determine the appropriate label for combined or derived data. Rarely required in detail on the exam — the presence of LUB/GLB is the fingerprint of a lattice model.	Lattice
What is the State Machine model?	A meta-model. A system is "secure" if it **starts in a secure state** and every **state transition results in another secure state**.\n\nFoundational — Bell-LaPadula is built on top of the State Machine model. The exam cues this with "based on the state machine" to signal BLP-family thinking.	State Machine
What is the Information Flow model?	A model that focuses on the **flow of information between security classes** rather than on which subjects can access which objects.\n\n- **Bell-LaPadula** (confidential flow) and **Biba** (integrity flow) are both information flow models\n- Information flow models formally describe and defend against **covert channels**	Information Flow
What is the Non-Interference model (Goguen-Meseguer)?	A model in which the actions of high-security-level subjects must **not affect** what lower-level subjects can observe.\n\nStronger than Bell-LaPadula because it explicitly addresses **covert channels** — BLP allows certain timing/storage covert channels that Non-Interference forbids.	Non-Interference
How does Non-Interference differ from Bell-LaPadula?	- **BLP** — regulates explicit access (no read up, no write down); does not explicitly close covert channels\n- **Non-Interference** — requires high actions be **UNOBSERVABLE** to low subjects, closing side channels by definition\n\n*A high-level subject could influence a low-level subject through timing or resource contention under BLP — Non-Interference forbids this.*	Non-Interference
What is the Sutherland model?	An information flow model focused on preventing **inference and unauthorized information flow**. Less frequently tested than Non-Interference; usually appears as a distractor in "name an information flow model" questions.	Sutherland
Which models protect CONFIDENTIALITY?	- **Bell-LaPadula** — primary confidentiality model\n- **Lattice-Based Access Control** — generalization BLP is an instance of\n- **Non-Interference** and **Information Flow** — formal underpinning BLP relies on\n- **Sutherland** — peripheral information flow model	Comparison
Which models protect INTEGRITY?	- **Biba** — headline integrity model\n- **Clark-Wilson** — well-formed transactions + separation of duties\n- **Lipner** — commercial: combines BLP + Biba + role separation	Comparison
Which models address rights propagation rather than read/write rules?	- **Access Matrix** — the foundation\n- **Graham-Denning** — eight protection rules\n- **HRU** — formalization + undecidability proof\n- **Take-Grant** — graph-based, decidable in linear time\n\nThese define how rights are created, transferred, and removed — not who can read/write at a given moment.	Comparison
Which models are foundational meta-models that other models are built ON TOP of?	- **State Machine** — BLP is built on it\n- **Access Matrix** — Graham-Denning, HRU, and Take-Grant all extend it\n- **Information Flow** — BLP and Biba are instances\n- **Lattice-Based Access Control** — BLP and Biba are instances\n\n*When the exam asks "what is BLP based on?" the answer is one of these.*	Comparison
What is the high-yield trap on Graham-Denning vs. HRU?	The names sound similar and the exam will swap them.\n\n- **Graham-Denning** = enumerates the eight rules\n- **HRU** = proves the safety problem is undecidable\n\nIf the question is about decidability → **HRU**, never Graham-Denning.	Trap Patterns
What is the high-yield trap on HRU vs. Take-Grant?	Both are formal rights-propagation models.\n\n- **HRU** = undecidable in general\n- **Take-Grant** = decidable in linear time\n\nScenario emphasizes safety is provable/efficient → **Take-Grant**. General problem is unsolvable → **HRU**.	Trap Patterns
What is the high-yield trap on Non-Interference vs. Bell-LaPadula?	Both are confidentiality-oriented.\n\n- **BLP** — regulates explicit access (read/write rules)\n- **Non-Interference** — regulates observability (high actions unobservable by low subjects)\n\nScenario mentions covert channels or side-channel observability → **Non-Interference**, not BLP.	Trap Patterns
What is the high-yield trap on Lattice-Based Access Control as an answer choice?	It is a **GENERALIZATION**, not a specific model. If the question asks for a model that protects confidentiality with no-read-up/no-write-down, the answer is **Bell-LaPadula** — even though BLP is technically lattice-based.\n\n"Lattice-based" is correct only when the question explicitly invokes labels, dominance, or LUB/GLB.	Trap Patterns
What is the high-yield trap on Lipner?	Candidates confuse it with **Clark-Wilson**. Both are commercial-integrity-flavored.\n\n- **Clark-Wilson** — centers on well-formed transactions and Transformation Procedures\n- **Lipner** — the BLP + Biba combination with role separation\n\nScenario mentions combining confidentiality and integrity in a commercial context → **Lipner**.	Trap Patterns
What is a one-line goal statement for each model in this family?	- **Access Matrix:** who can do what to what\n- **Graham-Denning:** eight protection rules\n- **HRU:** safety undecidable in general\n- **Take-Grant:** rights propagation, decidable\n- **Lattice:** labels with dominance\n- **State Machine:** secure transitions only\n- **Information Flow:** control flow between classes\n- **Non-Interference:** high invisible to low\n- **Sutherland:** prevent inference\n- **Lipner:** BLP + Biba + role separation	Mnemonics
