Question	Answer	Category
What does the AAA model stand for in IAM?	The full model is actually **IAAA:**\n\n1. **Identification** — claiming identity (username)\n2. **Authentication** — proving identity (credential)\n3. **Authorization** — determining what the identity can access\n4. **Accountability** — attributing actions to identity\n5. **Auditing** — reviewing logs and access patterns\n\nThe first three are the access decision; the last two enable enforcement and oversight.	IAM Framework, IAAA Model, Accountability and Auditing
What is the difference between identification and authentication?	- **Identification** — the **claim** of identity (presenting a username)\n- **Authentication** — the **proof** of that claim (presenting a credential — password, token, biometric — that validates the identity)	IAM Fundamentals, Identification, Authentication
What is Discretionary Access Control (DAC)?	An access control model where the **resource owner determines who can access** the resource and at what level.\n\n- Flexible but weaker (access decisions scattered across many owners)\n- Typical of file systems and collaborative tools\n- **Identity-based**	Access Control Models, DAC, Discretionary Access Control
What is Mandatory Access Control (MAC)?	An access control model where access decisions are **enforced by the system based on classification labels** on objects and clearance levels on subjects.\n\n- The owner **cannot override**\n- Used by military, intelligence, and government\n- **Label-based**	Access Control Models, MAC, Mandatory Access Control
What is Role-Based Access Control (RBAC)?	An access control model where **permissions are assigned to roles** and users inherit permissions through their assigned role(s).\n\n- Scalable for enterprises with stable job functions\n- Access changes by changing role assignments\n- **Role-based**	Access Control Models, RBAC, Role-Based Access Control
What is Attribute-Based Access Control (ABAC)?	An access control model where decisions evaluate policies combining **multiple attributes:**\n\n- User attributes (department, clearance)\n- Resource attributes (classification, owner)\n- Action attributes (read/write)\n- Environment attributes (time, location, device)\n\nThe most flexible model; codified in NIST SP 800-162.	Access Control Models, ABAC, Attribute-Based Access Control
What is Rule-Based Access Control (RuBAC)?	An access control model where access decisions are governed by **conditional rules** — typically time-of-day, IP range, location, or device posture — layered on top of a base model.\n\n*Example: "access permitted only during business hours from inside the corporate network."*\n\n**NOT the same as RBAC.**	Access Control Models, Rule-Based Access Control, Environmental Constraints
What is the trap distinguishing RBAC and RuBAC?	The names sound identical but the mechanisms differ:\n\n- **RBAC** — access changes based on the user's **job title/role**\n- **RuBAC** — access changes based on **time, location, or other conditional rules**\n\nWhen in doubt: role title → RBAC; conditional/environmental → RuBAC or ABAC.	Access Control Models, RBAC, Rule-Based Access Control
What does Bell-LaPadula's Simple Security Property say?	**"No read up"** — a subject at security level L **cannot read** an object classified at a higher level.\n\n*Example: a Confidential-cleared user cannot read a Secret document.*\n\nProtects **confidentiality.**	Security Models, Bell-LaPadula, No Read Up
What does Bell-LaPadula's Star Property (* Property) say?	**"No write down"** — a subject at security level L **cannot write** to an object classified at a lower level.\n\n*Example: a Secret-cleared user cannot save data into a Confidential file.*\n\nPrevents leaking classified data downward.	Security Models, Bell-LaPadula, No Write Down
