Question	Answer	Category
What is Recovery Time Objective (RTO)?	The maximum tolerable time to restore a system or process to a defined service level after a disruption.\n\n- Measured in **time** (hours/days)\n- It is a **TIME-TO-RESTORE** metric, not a data-loss metric	BCP/DR, Formula
What is Recovery Point Objective (RPO)?	The maximum tolerable amount of data loss, expressed as a time window backward from the moment of disruption.\n\n- Measured in **time** (e.g., 4 hours of data loss)\n- It is a **DATA-LOSS** metric, not a time-to-restore metric	BCP/DR, Formula
What is Maximum Tolerable Downtime (MTD)?	The absolute maximum time a critical business process can be unavailable before unacceptable harm occurs.\n\nAlso called: **MAD** (Maximum Allowable Downtime), **MTO** (Maximum Tolerable Outage), **MTPD** (Maximum Tolerable Period of Disruption).\n\n*Rule: RTO must be ≤ MTD.*	BCP/DR, Formula
What is Work Recovery Time (WRT)?	The time required to verify systems and data integrity, configure applications, and validate functionality **after** restoration but **before** returning to production.\n\nComes after RTO and before resuming normal operations.	BCP/DR, Formula
What is the formula relating MTD, RTO, and WRT?	**MTD = RTO + WRT**\n\nTotal tolerable downtime equals the time to restore systems plus the time to verify and resume them.	BCP/DR, Formula
RTO is 4 hours and WRT is 2 hours. What is MTD?	**6 hours.**\n\nMTD = RTO + WRT = 4 + 2 = 6	BCP/DR, Worked Example
MTD is 12 hours and RTO is 8 hours. What is WRT?	**4 hours.**\n\nWRT = MTD − RTO = 12 − 8 = 4	BCP/DR, Worked Example
What is Mean Time To Repair (MTTR)?	The average time required to repair a failed component and return it to service. A **maintainability** metric, distinct from RTO.\n\n*Lower MTTR = faster individual fixes.*	BCP/DR, Formula
What is Mean Time Between Failures (MTBF)?	The average time between repairable failures of a component. A **reliability** metric.\n\n*Higher MTBF = more reliable component.*	BCP/DR, Formula
What is Mean Time To Failure (MTTF)?	The average time before a **non-repairable** component fails. Used for items that are replaced rather than repaired (e.g., disks, fuses).\n\n*Higher MTTF = longer life expectancy.*	BCP/DR, Formula
What is a Business Impact Analysis (BIA)?	A structured process that identifies critical business processes, supporting systems, and the impact of disruption — financial, operational, regulatory, reputational.\n\nThe BIA **produces**: RTO, RPO, MTD, and the prioritization that drives all subsequent recovery planning.	BCP/DR, BIA
